report_id,days_policy_to_claim,claim_amount,sum_insured,claim_count_1y,was_investigated,policy_count,label,manual_decision,decision_time,feedback_label,risk_score,risk_level
R0,93,5121.38296509377,100000,3,0,2,1,,,,0.90601283,🔴 高风险
R1,602,8748.138982688382,100000,0,0,2,1,,,,0.69732565,🟠 中风险
R2,263,23888.18910263713,500000,2,0,3,1,,,,0.75016975,🟠 中风险
R3,182,8261.266736939711,200000,2,0,4,0,,,,0.24842224,🟢 低风险
R4,33,31126.34305203302,100000,0,1,1,1,,,,0.9471518,🔴 高风险
R5,33,19288.79709169664,100000,3,0,1,0,,,,0.2931611,🟢 低风险
R6,11,20855.94703944525,500000,2,0,4,1,,,,0.9290947,🔴 高风险
R7,402,17216.27032392106,500000,1,0,4,1,,,,0.8403458,🔴 高风险
R8,183,27728.47838543724,500000,0,0,1,0,,,,0.56915605,🟠 中风险
R9,246,27831.598877770102,500000,1,0,3,1,,,,0.5829897,🟠 中风险
R10,4,23350.543519121715,500000,0,0,1,1,,,,0.9824195,🔴 高风险
R11,700,25647.89105907648,100000,0,0,4,1,,,,0.6246089,🟠 中风险
R12,357,17879.103300795745,50000,0,0,2,0,,,,0.4586063,🟢 低风险
R13,47,25422.030069090484,50000,0,0,1,1,,,,0.5560317,🟠 中风险
R14,40,16621.22224526193,50000,1,0,4,1,,,,0.7475881,🟠 中风险
R15,40,20022.31622162402,100000,2,0,2,1,,,,0.835558,🔴 高风险
R16,72,17253.562506337024,200000,1,0,1,0,,,,0.69352627,🟠 中风险
R17,148,15427.81460680804,100000,0,0,3,1,,,,0.36909395,🟢 低风险
R18,113,13108.882022782098,50000,2,0,3,1,,,,0.45617285,🟢 低风险
R19,68,24676.90103858885,50000,1,0,1,1,,,,0.6435635,🟠 中风险
R20,189,33106.059128134635,500000,3,0,1,1,,,,0.9540342,🔴 高风险
R21,30,31711.019716695595,500000,0,0,2,1,,,,0.9659791,🔴 高风险
R22,69,7434.346640545646,500000,0,0,3,0,,,,0.21147977,🟢 低风险
R23,91,32892.030514068734,100000,0,0,4,1,,,,0.6222903,🟠 中风险
R24,121,16818.414983820712,200000,0,0,1,1,,,,0.6212246,🟠 中风险
R25,307,26007.33015145592,200000,0,0,3,0,,,,0.3748535,🟢 低风险
R26,44,10937.84667952789,500000,2,0,3,1,,,,0.47032034,🟢 低风险
R27,144,21419.79913874005,200000,1,0,1,0,,,,0.40532014,🟢 低风险
R28,179,23137.23182896907,50000,0,1,1,1,,,,0.82392144,🔴 高风险
R29,9,5153.952080803472,50000,1,0,4,1,,,,0.9357447,🔴 高风险
R30,187,26082.67166344189,500000,2,0,1,1,,,,0.7558369,🟠 中风险
R31,37,33459.350078383155,500000,1,0,4,1,,,,0.61113477,🟠 中风险
R32,13,18253.52054318372,500000,1,0,1,1,,,,0.75701624,🟠 中风险
R33,594,33601.68130828013,200000,0,0,2,1,,,,0.71658087,🟠 中风险
R34,674,18103.065065475923,100000,2,0,1,1,,,,0.5989223,🟠 中风险
R35,330,28495.84531046617,500000,1,1,2,1,,,,0.7982744,🟠 中风险
R36,72,1000.0,200000,4,0,1,1,,,,0.991772,🔴 高风险
R37,20,44187.77779313464,500000,1,0,3,1,,,,0.9592533,🔴 高风险
R38,230,34954.58245242957,100000,0,0,1,1,,,,0.64041513,🟠 中风险
R39,116,17153.744957463212,500000,3,0,2,1,,,,0.9798622,🔴 高风险
R40,26,1000.0,50000,0,0,1,1,,,,0.98377866,🔴 高风险
R41,136,22880.28368305489,500000,0,0,1,0,,,,0.42530015,🟢 低风险
R42,6,5560.744529262431,50000,1,0,3,1,,,,0.9258973,🔴 高风险
R43,480,24448.53537557488,50000,1,0,3,0,,,,0.21763861,🟢 低风险
R44,59,24115.65719164282,200000,1,0,2,0,,,,0.5267081,🟠 中风险
R45,217,10585.968309979751,200000,4,0,1,1,,,,0.7607871,🟠 中风险
R46,74,31209.67023614378,50000,0,1,1,1,,,,0.88767767,🔴 高风险
R47,146,28055.74702806173,50000,1,0,3,0,,,,0.51307255,🟠 中风险
R48,158,29758.233372885632,500000,3,1,2,1,,,,0.96297336,🔴 高风险
R49,40,20088.57703668896,500000,0,0,1,0,,,,0.4503089,🟢 低风险
R50,698,5844.759330862935,50000,0,1,2,1,,,,0.98919386,🔴 高风险
R51,298,29778.72272211137,200000,0,0,2,1,,,,0.50327665,🟠 中风险
R52,561,17296.286008642088,500000,0,1,2,1,,,,0.93233067,🔴 高风险
R53,450,6102.198568073309,500000,1,0,3,1,,,,0.6275717,🟠 中风险
R54,182,33520.39365974326,500000,1,0,4,1,,,,0.31827447,🟢 低风险
R55,509,40994.07520502509,200000,0,0,3,1,,,,0.5352612,🟠 中风险
R56,18,19587.51871020797,50000,0,0,1,1,,,,0.926877,🔴 高风险
R57,43,41591.21154603292,500000,0,0,2,0,,,,0.3041832,🟢 低风险
R58,9,20913.147286113497,200000,0,1,2,1,,,,0.99348515,🔴 高风险
R59,78,16195.440958336489,200000,0,0,2,0,,,,0.39403617,🟢 低风险
R60,98,13695.415458145224,200000,2,0,1,1,,,,0.6959876,🟠 中风险
R61,63,36370.82407992742,200000,1,1,1,0,,,,0.2557744,🟢 低风险
R62,352,12198.561186122282,500000,1,0,2,0,,,,0.5049181,🟠 中风险
R63,88,27352.693099749875,50000,0,1,2,1,,,,0.88422996,🔴 高风险
R64,65,14408.361649407918,50000,0,1,2,1,,,,0.85251606,🔴 高风险
R65,156,15396.932374256368,200000,0,0,1,1,,,,0.48301086,🟢 低风险
R66,30,30302.49693969567,50000,3,0,2,1,,,,0.9891529,🔴 高风险
R67,324,16199.631537106465,500000,1,1,2,1,,,,0.9117282,🔴 高风险
